alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
stelar,10000,1000,R1,0.000001,100000,150000,0.0056,940.196,15499.590,1446.824,25.6857,17.7233
stelar,10000,2500,R1,0.000001,100000,150000,0.0041,2020.297,22062.121,1943.992,25.6857,17.7233
stelar,10000,5000,R1,0.000001,100000,150000,0.0038,3682.449,34713.297,2458.432,25.6857,17.7233
stelar,10000,7500,R1,0.000001,100000,150000,0.0033,5259.213,48526.764,3106.218,25.6857,17.7233
stelar,10000,10000,R1,0.000001,100000,150000,0.0029,6729.330,74323.432,3734.514,25.6857,17.7233

