alg,folder,inner_folder,replicate,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,exit-code
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R2,0.3988,1.141,412.184,109.568,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R5,0.1814,0.955,405.699,109.568,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R16,0.2725,1.318,445.695,109.568,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R1,0.1483,0.968,403.598,109.568,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R9,0.1473,1.033,406.199,109.568,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R15,0.1964,1.043,409.129,109.568,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R3,0.1413,0.926,396.422,109.568,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R20,0.1413,1.064,408.039,109.568,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R4,0.2756,1.209,435.711,109.568,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R19,0.1713,0.969,406.055,109.568,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R8,0.5100,1.607,450.270,111.616,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R11,0.2695,1.102,410.996,109.568,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/50-gt,R18,0.1934,0.972,401.633,109.568,0
