alg,folder,inner_folder,replicate,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,exit-code
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R10,0.3173,3.093,571.312,111.616,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R14,0.1627,2.231,499.844,111.616,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R7,0.0723,1.651,432.891,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R6,0.0723,1.523,458.473,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R12,0.0562,1.833,454.113,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R17,0.1165,1.975,437.215,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R13,0.0763,1.737,435.637,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R2,0.0823,1.817,442.445,111.616,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R5,0.0924,1.581,453.840,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R16,0.2269,2.676,496.188,111.616,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R1,0.1466,1.983,477.098,111.616,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R9,0.1406,2.528,495.488,111.616,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R15,0.1285,2.415,482.695,111.616,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R3,0.1968,2.407,470.926,111.616,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R20,0.0803,1.731,456.637,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R4,0.0703,1.574,453.516,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R19,0.0703,1.547,434.941,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R8,0.1365,1.784,435.371,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R11,0.1104,1.608,453.488,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/200-gt,R18,0.1185,2.314,479.438,111.616,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R10,0.3333,139.944,2532.223,123.904,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R14,0.1707,66.598,1996.188,121.856,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R7,0.0361,35.457,1581.477,117.760,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R6,0.0261,27.266,1389.020,115.712,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R12,0.0181,30.527,1468.742,117.760,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R17,0.0622,39.784,1619.539,117.760,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R13,0.0442,35.784,1679.305,117.760,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R2,0.0161,46.602,1817.113,121.856,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R5,0.0281,29.125,1396.781,115.712,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R16,0.2088,107.954,2401.449,121.856,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R1,0.1044,55.472,1841.191,117.760,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R9,0.1104,90.042,2287.152,121.856,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R15,0.1285,84.745,2302.355,121.856,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R3,0.1727,77.957,2215.316,121.856,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R20,0.0562,29.992,1407.758,115.712,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R4,0.0462,29.316,1428.297,115.712,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R19,0.0442,27.372,1311.496,115.712,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R8,0.1787,41.899,1672.367,117.760,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R11,0.0422,31.463,1500.184,115.712,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/1000-gt,R18,0.1084,56.481,1895.602,121.856,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R10,0.3675,0.954,382.770,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R14,0.2309,0.852,350.449,107.520,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R7,0.1185,0.874,332.504,107.520,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R6,0.1165,0.832,323.227,107.520,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R12,0.1225,0.885,325.094,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R17,0.1104,0.852,341.988,107.520,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R13,0.1084,0.813,337.938,107.520,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R2,0.1727,0.840,333.086,107.520,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R5,0.1406,0.843,327.715,107.520,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R16,0.2831,0.921,369.355,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R1,0.1968,0.941,342.477,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R9,0.2269,0.877,343.309,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R15,0.2791,0.926,358.598,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R3,0.2952,0.910,354.578,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R20,0.1245,0.938,333.363,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R4,0.1606,0.859,340.078,107.520,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R19,0.1225,0.963,334.059,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R8,0.1667,0.922,339.867,109.568,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R11,0.1165,0.806,337.922,107.520,0
stelar,500-taxon,estimated-genetrees/model.500.2000000.0.000001/50-gt,R18,0.1707,0.826,337.727,107.520,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R10,0.0823,23.219,1348.254,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R14,0.0161,25.146,1296.305,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R7,0.0221,21.443,1304.738,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R6,0.0080,17.871,1181.469,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R12,0.0100,19.294,1219.680,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R17,0.0141,20.236,1248.633,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R13,0.0562,18.522,1231.141,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R2,0.0100,25.333,1341.312,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R5,0.0100,20.643,1208.688,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R16,0.0120,28.368,1399.727,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R1,0.0181,25.411,1350.543,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R9,0.0462,22.177,1279.816,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R15,0.0261,21.412,1274.598,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R3,0.0040,21.336,1288.336,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R20,0.0422,21.343,1269.699,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R4,0.0120,18.546,1177.992,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R19,0.0402,21.924,1288.934,204.800,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R8,0.0562,20.888,1256.371,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R11,0.0261,20.462,1231.590,115.712,0
stelar,500-taxon,true-genetrees/model.500.2000000.0.000001/1000-gt,R18,0.0602,26.579,1331.332,115.712,0
