alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
stelar,1000,1000,R1,0.00001,10000,150000,0.1013,69.688,2028.324,1776.640,84.3531,71.6148
stelar,1000,1000,R1,0.00001,10000,200000,0.2748,91.575,2169.781,1809.408,89.1675,78.5155
stelar,1000,1000,R1,0.00001,10000,250000,0.5236,103.688,2416.523,1829.888,91.5747,82.0060
stelar,1000,1000,R1,0.00001,10000,300000,0.6921,120.145,2754.730,1838.080,92.4975,85.0953
stelar,1000,1000,R1,0.00001,10000,400000,0.7914,130.640,2909.102,1558.528,93.9218,88.1846
stelar,1000,1000,R1,0.00001,10000,500000,0.8275,140.292,2871.879,1870.848,95.6670,89.9699
stelar,1000,1000,R1,0.00001,50000,1000000,0.9147,173.016,3355.664,2350.080,97.1414,93.6008
stelar,1000,1000,R1,0.00001,50000,1200000,0.9308,185.322,2848.270,1930.240,97.8335,94.1625
stelar,1000,1000,R1,0.00001,50000,1500000,0.9428,187.689,3356.812,1938.432,98.0140,95.3862
stelar,1000,1000,R1,0.00001,50000,150000,0.1374,74.182,2107.266,1784.832,84.8144,72.0963
stelar,1000,1000,R1,0.00001,50000,200000,0.2889,93.207,2189.996,1924.096,88.8566,78.3149
stelar,1000,1000,R1,0.00001,50000,250000,0.5085,106.450,2939.305,1944.576,91.2036,82.1264
stelar,1000,1000,R1,0.00001,50000,300000,0.6520,118.952,2383.016,1952.768,92.4774,84.1926
stelar,1000,1000,R1,0.00001,50000,400000,0.7703,130.156,2708.020,1545.216,94.3330,87.7031
stelar,1000,1000,R1,0.00001,50000,500000,0.8195,146.436,2830.203,1993.728,95.5667,89.9498
stelar,1000,1000,R1,0.00005,100000,1000000,0.9860,236.755,3121.602,1963.008,99.1976,97.8536
stelar,1000,1000,R1,0.00005,100000,1200000,0.9769,244.404,3712.168,2077.696,99.2879,98.1545
stelar,1000,1000,R1,0.00005,100000,1500000,0.9850,255.231,3736.461,2085.888,99.4784,98.6359
stelar,1000,1000,R1,0.00005,100000,150000,0.9067,164.093,2930.383,2025.472,96.7904,92.7583
stelar,1000,1000,R1,0.00005,100000,200000,0.9097,175.286,3358.547,2017.280,97.2718,93.7412
stelar,1000,1000,R1,0.00005,100000,250000,0.9368,183.975,3264.293,2029.568,97.5827,94.9850
stelar,1000,1000,R1,0.00005,100000,300000,0.9478,187.743,3311.246,1917.952,98.0642,95.6670
stelar,1000,1000,R1,0.00005,100000,500000,0.9559,211.301,2959.004,1934.336,98.7262,96.8706
stelar,1000,1000,R1,0.00005,10000,1000000,0.9749,236.863,3471.746,1969.152,99.2477,97.9539
stelar,1000,1000,R1,0.00005,10000,1200000,0.9850,244.254,3463.668,2083.840,99.2979,98.2146
stelar,1000,1000,R1,0.00005,10000,1500000,0.9870,254.783,3476.324,2092.032,99.4383,98.6359
stelar,1000,1000,R1,0.00005,10000,150000,0.8857,160.407,3033.273,2031.616,96.7803,93.0792
stelar,1000,1000,R1,0.00005,10000,200000,0.9157,175.041,3293.305,2029.568,97.1414,93.6008
stelar,1000,1000,R1,0.00005,10000,250000,0.9218,187.165,3333.309,1915.904,97.7232,95.0050
stelar,1000,1000,R1,0.00005,10000,300000,0.9358,186.920,2819.973,1924.096,98.0441,95.4263
stelar,1000,1000,R1,0.00005,10000,400000,0.9539,199.730,3351.379,1616.896,98.5657,96.6700
stelar,1000,1000,R1,0.00005,10000,500000,0.9629,209.640,3321.414,1940.480,98.6660,96.2889
stelar,1000,1000,R1,0.00005,50000,1000000,0.9699,237.193,3374.500,1963.008,99.2979,97.8736
stelar,1000,1000,R1,0.00005,50000,1200000,0.9860,245.920,3420.789,2077.696,99.3079,98.1143
stelar,1000,1000,R1,0.00005,50000,1500000,0.9769,253.222,3448.746,2085.888,99.4584,98.5958
stelar,1000,1000,R1,0.00005,50000,150000,0.8947,160.185,2969.336,1998.848,96.5898,92.5176
stelar,1000,1000,R1,0.00005,50000,200000,0.8977,175.046,2777.770,2315.264,96.9007,93.6008
stelar,1000,1000,R1,0.00005,50000,250000,0.9368,185.883,3331.227,1924.096,97.7432,95.1655
stelar,1000,1000,R1,0.00005,50000,300000,0.9418,188.249,2874.711,1932.288,98.0642,95.5466
stelar,1000,1000,R1,0.00005,50000,400000,0.9529,198.828,3542.508,1604.608,98.3751,96.6700
stelar,1000,1000,R1,0.00005,50000,500000,0.9569,210.330,3452.125,1948.672,98.7864,96.4293
stelar,1000,100,R1,0.000001,50000,1500000,0.4674,3.021,544.055,1605.632,,
stelar,1000,100,R1,0.000001,50000,150000,0.0211,0.957,423.480,1574.912,21.6851,14.9850
stelar,1000,200,R1,0.000001,50000,150000,0.0100,1.164,473.105,1575.936,21.6851,14.9850
stelar,15000,1000,R1,0.000001,100000,150000,0.0055,2994.442,18950.020,3941.376,24.9463,17.1608
stelar,20000,1000,R1,0.000001,100000,150000,0.0049,8141.740,27698.211,6068.224,25.3133,17.3706
stelar,2000,1000,R1,0.000001,100000,150000,0.0040,4.886,4125.590,1737.728,25.8588,17.7666
stelar,2000,1000,R1,0.000001,100000,200000,0.0045,7.383,4218.016,1764.352,33.0696,23.4051
stelar,2000,1000,R1,0.000001,100000,250000,0.0040,24.009,3953.871,3905.536,38.0921,27.0105
stelar,2000,1000,R1,0.000001,100000,300000,0.0085,42.357,3987.742,3937.280,44.7621,32.1582
stelar,2000,1000,R1,0.000001,100000,350000,0.0060,65.775,4477.797,4141.056,49.2739,36.1542
stelar,2000,1000,R1,0.000001,100000,400000,0.0125,64.458,4775.133,1357.824,52.2934,38.4777
stelar,2000,1000,R1,0.000001,10000,150000,0.0030,4.551,4206.469,1224.704,25.3630,17.5363
stelar,2000,1000,R1,0.000001,10000,200000,0.0060,7.222,4275.543,1251.328,31.6324,21.8528
stelar,2000,1000,R1,0.000001,10000,250000,0.0055,12.501,4370.117,1288.192,38.3025,26.7001
stelar,2000,1000,R1,0.000001,10000,300000,0.0055,23.194,4607.742,1320.960,43.9459,31.3871
stelar,2000,1000,R1,0.000001,50000,150000,0.0035,4.499,4121.496,1623.040,25.2679,17.3160
stelar,2000,1000,R1,0.000001,50000,200000,0.0085,7.397,4196.465,1648.640,32.7992,22.6840
stelar,2000,1000,R1,0.000001,50000,250000,0.0065,13.341,4373.090,1801.216,37.8368,26.7401
stelar,2000,1000,R1,0.000001,50000,300000,0.0080,24.122,4477.117,1842.176,44.2714,32.1282
stelar,2000,1000,R1,0.000001,50000,350000,0.0085,38.251,4640.152,1301.504,48.3125,35.3130
stelar,2000,1000,R1,0.000001,50000,400000,0.0095,63.279,4736.719,1357.824,52.7241,39.1788
stelar,2000,1000,R1,0.00001,100000,150000,0.2298,787.956,6645.207,1980.416,86.9905,75.0225
stelar,2000,1000,R1,0.00001,100000,200000,0.3010,977.802,6871.129,2704.384,90.5859,80.9715
stelar,2000,1000,R1,0.00001,100000,250000,0.5864,1177.447,6929.445,2343.936,91.9029,83.8057
stelar,2000,1000,R1,0.00001,100000,300000,0.7191,1217.180,6974.777,2378.752,93.6755,86.3996
stelar,2000,1000,R1,0.00001,10000,1000000,0.9229,1804.801,7214.449,2897.920,97.4211,94.2814
stelar,2000,1000,R1,0.00001,10000,1200000,0.9319,1885.980,7252.988,3042.304,97.8518,94.5819
stelar,2000,1000,R1,0.00001,10000,1500000,0.9479,2232.536,7315.902,2826.240,98.2073,95.5033
stelar,2000,1000,R1,0.00001,10000,150000,0.1848,775.077,6715.910,2524.160,86.0941,74.0411
stelar,2000,1000,R1,0.00001,10000,200000,0.3365,986.475,6897.004,2689.024,90.2554,80.0801
stelar,2000,1000,R1,0.00001,10000,250000,0.5869,1103.076,6921.664,3131.392,92.1933,83.5954
stelar,2000,1000,R1,0.00001,10000,300000,0.6960,1221.955,6997.371,2792.448,93.1147,85.8388
stelar,2000,1000,R1,0.00001,10000,500000,0.8498,1580.648,7691.621,2846.720,95.7036,90.8062
stelar,2000,1000,R1,0.00001,50000,1000000,0.9209,1768.427,7232.008,2912.256,97.3010,94.3716
stelar,2000,1000,R1,0.00001,50000,1200000,0.9414,1861.160,7243.938,2718.720,97.8968,94.6019
stelar,2000,1000,R1,0.00001,50000,150000,0.1808,759.146,6697.191,2569.216,86.3095,74.0110
stelar,2000,1000,R1,0.00001,50000,200000,0.3175,980.883,6893.484,2362.368,90.2404,80.3806
stelar,2000,1000,R1,0.00001,50000,250000,0.6084,1122.647,6938.777,2322.432,92.1382,83.4051
stelar,2000,1000,R1,0.00001,50000,300000,0.7051,1224.599,6984.523,2676.736,93.5553,85.9489
stelar,2000,1000,R1,0.00001,50000,500000,0.8493,1595.310,7098.473,2571.264,95.8137,90.6960
stelar,2000,1000,R1,0.00005,100000,150000,0.9059,1793.229,7188.285,2661.376,96.9354,92.9895
stelar,2000,1000,R1,0.00005,100000,200000,0.9234,1804.099,7217.160,2892.800,97.4412,94.6920
stelar,2000,1000,R1,0.00005,100000,250000,0.9459,1908.370,7275.574,2706.432,97.8217,95.0726
stelar,2000,1000,R1,0.00005,100000,300000,0.9414,2244.893,7290.785,3155.968,98.0671,95.6034
stelar,2000,1000,R1,0.00005,10000,150000,0.9074,1667.710,7147.398,3012.608,96.8503,93.0095
stelar,2000,1000,R1,0.00005,10000,200000,0.9219,1804.143,7211.660,2676.736,97.3010,94.3716
stelar,2000,1000,R1,0.00005,10000,250000,0.9309,2105.603,7259.293,2936.832,98.0771,95.2128
stelar,2000,1000,R1,0.00005,10000,300000,0.9509,2230.137,7279.355,2720.768,98.1522,95.7236
stelar,2000,1000,R1,0.00005,50000,150000,0.8953,1678.394,7174.797,2834.432,97.1958,92.8493
stelar,2000,1000,R1,0.00005,50000,200000,0.9329,1793.726,7231.867,2659.328,97.4912,94.7922
stelar,2000,1000,R1,0.00005,50000,250000,0.9449,2110.940,7264.617,2950.144,97.9419,95.3030
stelar,2000,1000,R1,0.00005,50000,300000,0.9519,2254.966,7284.691,2975.744,98.0421,95.5533
stelar,25000,1000,R1,0.000001,100000,150000,0.0058,15584.114,35323.781,8548.352,25.5043,17.6573
stelar,2500,1000,R1,0.000001,100000,200000,0.0056,12.320,,,32.4189,22.4429
stelar,2500,1000,R1,0.000001,100000,250000,0.0064,30.864,,,39.0108,27.2647
stelar,2500,1000,R1,0.000001,100000,300000,0.0096,75.325,,,43.7165,31.4217
stelar,2500,1000,R1,0.000001,100000,350000,0.0084,180.504,4600.004,4214.784,48.2018,34.9940
stelar,2500,1000,R1,0.000001,100000,400000,0.0148,185.478,,,52.7954,39.0629
stelar,2500,1000,R1,0.000001,100000,500000,0.0140,359.627,,,59.6876,44.6296
stelar,30000,1000,R1,0.000001,100000,150000,0.0062,27279.418,,,25.6226,17.7191
stelar,3000,1000,R1,0.000001,100000,250000,0.0073,140.716,4708.160,3931.136,36.5599,26.2262
stelar,3000,1000,R1,0.000001,100000,300000,0.0090,223.980,5018.992,4002.816,42.3223,30.3437
stelar,3000,1000,R1,0.000001,100000,350000,0.0110,421.196,5225.895,4084.736,46.4231,34.0474
stelar,5000,1000,R1,0.000001,100000,150000,0.0056,99.781,9532.164,1956.864,24.3826,16.9822
stelar,5000,1000,R1,0.000001,100000,200000,0.0056,247.779,,,31.6630,22.1373
stelar,5000,1000,R1,0.000001,100000,250000,0.0078,542.764,,,36.5459,25.4633
stelar,5000,1000,R1,0.000001,100000,300000,0.0090,995.689,,,42.3794,30.1221
