alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
astral,1000,1000,R1,0.000001,100000,150000,0.0040,143.085,18058.051,360.448,22.2166,15.3059
astral,1000,100,R1,0.000001,100000,200000,0.0100,20.768,6975.191,331.776,28.0943,19.1374
astral,100,1000,R1,0.000001,100000,150000,0.0000,4.979,3661.949,376.832,25.0515,16.4948
astral,2000,1000,R1,0.000001,100000,150000,0.0040,672.337,29453.809,371.712,25.8588,17.7666
astral,2500,1000,R1,0.000001,100000,150000,0.0036,1283.163,43239.934,373.760,25.6308,17.7413
astral,3000,1000,R1,0.000001,100000,150000,0.0033,1989.978,51233.312,379.904,,
astral,5000,1000,R1,0.000001,100000,150000,0.0040,8045.679,53670.887,412.672,,
astral,7500,1000,R1,0.000001,100000,150000,0.0040,27929.632,54087.555,401.408,25.6129,17.6337
