alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st 
stelar,10000,7500,R1,0.000001,100000,150000,0.0033,5259.213,48526.764,
stelar,10000,10000,R1,0.000001,100000,150000,0.0029,6729.330,74323.432,
stelar,30000,1000,R1,0.000001,100000,150000,0.0062,27279.418,49145.244,11340.712
stelar,40000,1000,R1,0.000001,100000,150000,0.0061,73897.951,71368.128,17426.504,25.6129,17.7008
stelar,50000,1000,R1,0.000001,100000,150000,0.0068,151505.357,103244.236,27344.662,25.6171,17.7183
