alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
stelar,1000,25000,R1,0.000001,100000,200000,0.0010,58.931,37710.348,586.446,,
stelar,1000,50000,R1,0.000001,100000,200000,0.0000,118.013,53273.586,778.568,,
stelar,1000,75000,R1,0.000001,100000,200000,0.0000,183.633,94383.469,972.244,,
stelar,1000,100000,R1,0.000001,100000,200000,0.0000,235.056,105570.762,1164.146,,



