alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
stelar,10000,1000,R1,0.000001,100000,200000,0.0070,87.321,11047.477,497.664,31.8185,22.1687
stelar,10000,2500,R1,0.000001,100000,200000,0.0046,419.918,19518.605,624.640,31.8185,22.1687
stelar,10000,5000,R1,0.000001,100000,200000,0.0036,1291.352,24002.172,829.440,31.8185,22.1687
stelar,10000,7500,R1,0.000001,100000,200000,0.0033,2211.381,53890.949,1008.446,31.8185,22.1687
stelar,10000,10000,R1,0.000001,100000,200000,0.0029,3111.629,75593.758,1208.248,31.8185,22.1687



