degree,train_r2,train_rmse,cv_rmse
1,0.8280170234073275,3835.80269954428,5421.621942947302
2,0.9957584797851771,602.3852101109901,1187.6216745716438
3,0.9998192126560743,124.36481896064896,271.3489445560373
4,0.9998248251083534,122.4191778802991,804.3506919160304
5,0.9998565972876665,110.76236307844,3158.9270089421816
