alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
astral,1000,1000,R1,0.000001,100000,150000,0.0040,143.085,18058.051,360.448,22.2166,15.3059
astral,2000,1000,R1,0.000001,100000,150000,0.0040,672.337,29453.809,371.712,25.8588,17.7666
astral,5000,1000,R1,0.000001,100000,150000,0.0040,8045.679,53670.887,412.672,25.6308,17.7413
astral,7500,1000,R1,0.000001,100000,150000,0.0040,27929.632,54087.555,401.408,25.6129,17.6337
